PA,SZ,AG,Sex,TOD,Pop,Time
Downtown Core,Bugis,65_to_69,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,65_to_69,Females,Others,0,2015
Downtown Core,Bugis,70_to_74,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,70_to_74,Males,HDB 3-Room Flats,40,2015
Downtown Core,Bugis,70_to_74,Males,HDB 4-Room Flats,10,2015
Downtown Core,Bugis,70_to_74,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,70_to_74,Males,Landed Properties,0,2015
Downtown Core,Bugis,70_to_74,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,70_to_74,Males,Others,0,2015
Downtown Core,Bugis,70_to_74,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,70_to_74,Females,HDB 3-Room Flats,40,2015
Downtown Core,Bugis,70_to_74,Females,HDB 4-Room Flats,20,2015
Downtown Core,Bugis,70_to_74,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,70_to_74,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,70_to_74,Females,Landed Properties,0,2015
Downtown Core,Bugis,70_to_74,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,70_to_74,Females,Others,0,2015
Downtown Core,Bugis,75_to_79,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,75_to_79,Males,HDB 3-Room Flats,30,2015
Downtown Core,Bugis,75_to_79,Males,HDB 4-Room Flats,20,2015
Downtown Core,Bugis,75_to_79,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,75_to_79,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,75_to_79,Males,Landed Properties,0,2015
Downtown Core,Bugis,75_to_79,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,75_to_79,Males,Others,0,2015
Downtown Core,Bugis,75_to_79,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,75_to_79,Females,HDB 3-Room Flats,50,2015
Downtown Core,Bugis,75_to_79,Females,HDB 4-Room Flats,20,2015
